Covariate types,Covariate,Model component,Modeling Region,Coefficient estimate,Standard deviation,2.5%,97.5%
Policy,Planning zone (Residential),NMod,Northwest Slopes,-0.9,0.195,-1.283,-0.516
Policy,Planning zone (Residential),NMod,Riverina,-0.571,0.401,-1.359,0.213
Policy,Planning zone (Residential),NMod,South Coast,0.86,0.045,0.772,0.948
Policy,Planning zone (Residential),PMod,Central & Southern Tablelands,-0.179,0.121,-0.417,0.059
Policy,Planning zone (Residential),PMod,Central Coast,-0.223,0.075,-0.369,-0.076
Policy,Planning zone (Residential),PMod,Far West,-1.122,0.338,-1.786,-0.46
Policy,Planning zone (Residential),PMod,North Coast,-0.676,0.128,-0.927,-0.426
Policy,Planning zone (Residential),PMod,Northern Tablelands,-1.216,0.407,-2.014,-0.417
Policy,Planning zone (Residential),PMod,Northwest Slopes,-0.216,0.247,-0.701,0.268
Policy,Planning zone (Residential),PMod,Riverina,-0.425,0.321,-1.055,0.205
Policy,Planning zone (Residential),PMod,South Coast,-0.158,0.127,-0.407,0.09
Policy,Planning zone (Rural),NMod,Central & Southern Tablelands,-0.568,0.132,-0.827,-0.308
Policy,Planning zone (Rural),NMod,Central Coast,-1.001,0.074,-1.147,-0.855
Policy,Planning zone (Rural),NMod,Far West,-1.502,0.276,-2.043,-0.962
Policy,Planning zone (Rural),NMod,North Coast,-1.223,0.124,-1.466,-0.98
Policy,Planning zone (Rural),NMod,Northern Tablelands,-2.849,0.548,-3.934,-1.782
Policy,Planning zone (Rural),NMod,Northwest Slopes,-0.743,0.191,-1.118,-0.367
Policy,Planning zone (Rural),NMod,Riverina,-1.695,0.351,-2.385,-1.006
Policy,Planning zone (Rural),NMod,South Coast,-0.483,0.053,-0.588,-0.379
Policy,Planning zone (Rural),PMod,Central & Southern Tablelands,-0.367,0.122,-0.606,-0.127
Policy,Planning zone (Rural),PMod,Central Coast,-0.897,0.077,-1.049,-0.745
Policy,Planning zone (Rural),PMod,Far West,-1.293,0.324,-1.929,-0.659
Policy,Planning zone (Rural),PMod,North Coast,-0.932,0.129,-1.184,-0.679
Policy,Planning zone (Rural),PMod,Northern Tablelands,-1.281,0.407,-2.078,-0.483
Policy,Planning zone (Rural),PMod,Northwest Slopes,-0.314,0.249,-0.802,0.174
Policy,Planning zone (Rural),PMod,Riverina,-0.617,0.301,-1.208,-0.026
Policy,Planning zone (Rural),PMod,South Coast,-0.665,0.128,-0.916,-0.415
